context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Casey stated Addison's case when she talked to the judge in his chambers.,What will happen to Casey?,be thrown out of court,get Addison freed,she'll be acquitted,oEffect
Quinn got a brand new sports car and showed it off to Casey's friends.,What will Quinn want to do next?,boast about the car to more people,hide the car so no one sees it,they needed to have the finances,oWant
"Quinn wished her puppy were more playful, but she enjoyed her anyway.",What will happen to Others?,become angry at Quinn,love her puppy,pet Quinn's puppy,oEffect
Sasha helped Jordan.,What will Sasha want to do next?,help herself,Beat others down,friends with Jordan,oWant
Lee sold things belonging to her mom without her permission.,How would Lee feel afterwards?,cheating,a bad child,interested in making money,xReact
Kai updated their resume when there was an opportunity for promotion.,How would you describe Kai?,A hardworking person,hopeful,inspired,xAttr
The neighbors dogs barked all night and kept Riley up so Riley told Austin's landlord.,Why did Riley do this?,knock on Austin's door,sleep at night,call the landlord,xIntent
Sasha gave her dog some pills after the vet said that the dog needed to be dewormed.,How would Others feel as a result?,glad to see that Sasha cares for her dog,worried that the dog will become an addict,mad that she was torturing the dog,xReact
Riley talked to their friends at the party and had a good time.,How would Riley feel as a result?,connected to friends,social,one with friends,xReact
Carson dug around in the bag and ate Bailey's candy once he had found the stash of it.,How would you describe Carson?,Someone who hates candy and sweets,Someone who steals from people,angry,xAttr
Bailey passed Jesse an examination booklet and they both grabbed their pencils and waited for the go ahead to start the test.,What will Jesse want to do next?,do well on the test,finish the test,fill in the test,oWant
Carson was out a new friend's house without his other friends.,How would the other friends feel as a result?,jealous of the new friend,happy they are left out,friendly,xReact
Carson took lives of chickens for a living on the farm.,How would Others feel as a result?,bad for the chickens,excited for them,was a hard worker,xReact
Lee saved Kai's car from destruction by grabbing the steering wheel when Kai stopped paying attention to the road.,Why did Lee do this?,didn't want the car to crash,lecture Kai about not paying attention,tell Kai to pull over,xIntent
Taylor attended their father's funeral after he passed away from cancer.,What does Taylor need to do before this?,honor their father,mourn their father,travel to the funeral,xNeed
Sasha protected the patient's information even though the parents yelled at her.,What will happen to Sasha?,be praised for her work,be sued by the hospital,be admitted to hospital,oEffect
Quinn realized their dog ran away in the middle of the night and cried their eyes out.,What does Quinn do this?,get a new dog,wanted a new dog,are sad,oEffect
"Taylor made the assumption based on his experience. however, this time it wasn't the right assumption.",How would Taylor feel afterwards?,surprised,happy,Wrong,xReact
Bailey asked Jesse to give her an exam.,How would Bailey feel afterwards?,smart,don't like Jesse at all,be happy that Jesse helped her,xReact
Jesse set Robin's sock on fire at the wild alcohol party.,How would Robin feel as a result?,like he hurt Robin,bad for Robin,very hot,xReact
Addison wanted breakfast in the morning so they ate cereal.,What does Addison need to do before this?,wanted something quick,pour the cereal in the bowl,think about pouring cereal in the bowl,xNeed
Alex spent a lot of time thinking about the things he did wrong.,What does Alex need to do before this?,ignore his problems,find a quiet place,make reparations,xNeed
"Robin bought Addison a watch for his birthday and after he unwrapped it, Robin helped put the watch on Addison's wrist.",Why did Robin do this?,make sure Addison knew what time it was,help Addison put the watch on,smile,xIntent
Bailey told Aubrey she saw her cheat on the history test.,Why did Bailey do this?,get Aubrey in trouble,warn Aubrey,see Aubrey's answers,xIntent
Skylar was upset with Taylor so they asked Taylor to go.,What will Taylor want to do next?,be present before this,leave Skylar's place,get upset before this,oWant
Tracy took Sydney to school 4 hours after the bell rang the students in.,How would Tracy feel afterwards?,guilty,irresponsible,unreliable,xReact
Bailey was Jesse's driving instructor.,What will Bailey want to do next?,take her driver's license test,practice driving,tell Jesse to turn left,oWant
Riley began to hurt after her medical operation.,What will Riley want to do next?,do nothing,injure herself more,go to the doctor,oWant
Carson kissed Alex gently and asked if she wanted to dance at the club.,What will Alex want to do next?,skilled,lazy,needs ask Alex do dance,oWant
Aubrey kept their friends up at night with their music.,What will happen to the friends?,The friends were starting to get angry with Aubrey,The friends stayed up and made pancakes all night,The friends called a local restaurant to order pizza,oEffect
Robin went with Jan's friends to school and was unaware Jan was planning a surprise party for later.,What will Jan want to do next?,throw a party next,go to sleep next,go to class,oWant
Jordan let others into his house.,Why did Jordan do this?,was having a game night,open the door,unlock the door,xIntent
Jesse just got a haircut and Riley was observing him with her eyes.,What will happen to Jesse?,Give a compliment to Jesse about his hair/,go for a haircut,see Jesse's haircut,oEffect
Ash accepted Alex's invitation to go to a birthday party.,What will Ash want to do next?,meet up with Alex,go to the birthday party,tell Ash about the dress code,oWant
Sasha had a long weekend coming up and was celebrating a birthday.,What will Sasha want to do next?,come home early and clean the house,go sightseeing,stay in the hotel and read,oWant
Riley was running late for her martial arts lessons. Riley had to get to the dojo on the other side of town.,What does Riley need to do before this?,needed to collect their uniform,needed to get groceries,needed to go to school,xNeed
Casey saved some money by working overtime to go on a vacation.,How would Casey feel afterwards?,proud of the hard work,inadequate for the work done,very disappointed,xReact
kendall went along with jan's friends but didn't invite jan along because they didn't like jan.,How would Jan feel as a result?,angry at kendall,appreciative to not be included,happy with kendall,xReact
Jesse went apple picking on a raining day.,What does Jesse need to do before this?,pick some apples,bring apples home,dress appropriately,xNeed
Quinn afforded every car after winning a lot of money on the Power ball ticket.,What does Quinn need to do before this?,Have lots of cars,get the winnings,avoid paying taxes on the winnings,xNeed
Austin moved his body to the music when the band began playing again.,How would Austin feel afterwards?,playing,angry at the band,peaceful and happy,xReact
"Carson was trying to study for a big test, so Carson turned Sydney's music down.",Why did Carson do this?,listen to loud music,make Sydney upset,make things quiet,xIntent
"Skylar loved riding dirt bikes, even though their family thought it was dangerous. When they crashed and broke their arm, they knew they'd have to fight to be allowed to ride again.",How would you describe Skylar?,Playing it safe,Passionate about their hobbies,Scared to ride again,xAttr
Jesse drove Ash to the airport and dropped them off at the airport with ease.,How would Jesse feel afterwards?,drained,After the airport drop off he went to the ticket counter,dropped me off at the airport,xReact
"Jesse had made plans with Cameron to go to the dance, but instead stood Cameron up.",What will Cameron want to do next?,not go to the dance anymore,Move away from the area,Tell Jesse how they feel,oWant
"Bailey has wanted a child for a long time, and finally got pregnant.",What will happen to Bailey?,be upset,be excited,be upset that his star employee will be on maternity leave,oEffect
Skylar reluctantly agreed to go to the play this coming Friday.,What will Skylar want to do next?,get a ticket,find a ride,loved,oWant
Jan gave birth to a daughter yesterday.,Why did Jan do this?,was induced to give birth,didn't mean to,prepare to deliver a baby,xIntent
Carson attended school at 5:00 am every day before sun raised.,What does Carson need to do before this?,'ll want to finish school,'ll want to be careful going to school in the dark,wake up early,xNeed
Sasha got revenge on her friends because of the earlier prank.,Why did Sasha do this?,be a pushover,take the prank with no recourse,get them back,xIntent
Taylor gave their partner a kiss on the lips and wished each other a goodnight.,What will happen to Others?,bored,go to sleep,proud,oEffect
"Taylor had a huge test to take, but Kai kept Taylor calm while they were studying.",How would Taylor feel as a result?,that they were ready for the test,more relaxed,more insecure,xReact
Bailey is taking a class with Aubrey and the two are taking a test.,What does Bailey need to do before this?,needed to be rude,look up the answers to see if she got them correct,needed to be aware,xNeed
Taylor gave a raise and a promotion to Kendall.,How would you describe Taylor?,Someone who want's Kendall to be at work,grateful,As someone who appreciates what Kendall does,xAttr
Kendall witnessed a bully stuffing kids' heads in lockers so she went up to the bully to put an end to the bullying.,How would you describe Kendall?,"tired, exhausted, and weak",that more people should stand up to bullies,always standing up for others,xAttr
Robin let Carson explain themself to the authorities so that they could best understand the situation.,What does Robin need to do before this?,ignore what was happening,be honest,figure out what was happening,xNeed
"Taylor was trying to speak but was being talked over, so Taylor got louder as they raised their voice.",What will Taylor want to do next?,Burst in laughter,Become irritated,proud,oWant
Tracy knew that men erased women from history so Tracy threw doubts on the history.,How would Tracy feel afterwards?,tracy who has erased his history,women who has doubts tracys history,helpful,xReact
Aubrey was practicing her violin all night.,How would others feel as a result?,Annoyed,Masterful,Very accomplished,xReact
Remy gave Me Skylar's Netflix account information to pay the subscription fee.,What will Skylar want to do next?,know Skylar's password,Lose the information,gather the information,oWant
Skylar put her daughters mind at ease after she claimed to see a creature in her room.,How would the daughter feel as a result?,like Skylar does not care about her,more brave,like doing evil things,xReact
Addison ate all the cereal before her brother woke up and could have any.,Why did Addison do this?,Get up first,was very hungry,Empty all the cereal into their bowl,xIntent
Robin lost their wallet.,What will happen to Others?,Others will do nothing,Others maybe accused of stealing,panic,oEffect
Alex gave birth to Sasha that summer in the early morning.,What will Sasha want to do next?,stop being pregnant,give the baby away,keep the baby,oWant
"Jesse was tasked by Addison to babysit, walk, and care for her dog.",What will happen to Jesse?,like dogs,she will do it,be cruel to the dog,oEffect
Kendall set a fire in the school and everyone got out of there quick.,What will Sydney want to do next?,run to a new school,laugh hysterically,confess what she did,oWant
"Cameron's best friend Robin was flying to visit Cameron, so Cameron had to go pick them up from the airport.",What will happen to Cameron?,be thanked by Robin,take a cab home,buy a plane ticket,oEffect
Kai looked at Jan's picture and made it perfect.,How would Jan feel as a result?,grateful,proud,helpful,xReact
"Remy had a big presentation he had to get done, so Remy was working late tonight.",What will Remy want to do next?,work on his novel,Purchase she red bull,drink coffee,oWant
Cameron looked at Riley expectantly as if if demanded acknowledgement from him.,How would Cameron feel afterwards?,very peaceful,Bold,entitled,xReact
"Austin had more than they could handle, so Austin offered Sydney a position at work.",How would you describe Austin?,proud,a supervisor,strong,xAttr
"Taylor´s friend had to get to the airport but had missed the bus, however Lee was going that direction, so Lee gave Taylor's friend a ride.",What will Taylor want to do next?,book a flight,call for a taxi,say goodbye to their friend,oWant
Jan was best friends with their teacher for years until the teacher passed away unexpectedly and suddenly.,What will Jan want to do next?,go to the funeral,forget about it,It brings up our own mortality,oWant
Jan went off to college and found new friends.,What will the friends want to do next?,did this for a fresh start,hang out at Jan's place,did this to meet new people,oWant
Austin built a shed on the site so that they had something to put their tools in.,What will Austin want to do next?,stress test the shed,knock down the shed,dismantle the shed,oWant
tracy hit a deer but the car was fine so tracy continued driving to school.,How would you describe Tracy?,as uptight,as weird,as normal,xAttr
"Jesse was pet sitting for Addison, so Jesse came to Addison's house and walked their dog.",What does Jesse need to do before this?,feed the dog,get a key from Addison,walk the dog,xNeed
Carson gave them some milk when they were eating cookies.,What will happen to others?,eat their cookies,put the milk back,lose milk,oEffect
Ash was cut short by the speaker at the conference.,How would you describe Ash?,frustrated,Inassertive,irritated,xAttr
Casey wrote a book that happened to mention all of his friends.,What does Jordan need to do before this?,buy Casey's cassette,he wanted to show them,read Casey's book,xNeed
Alex landed on Taylor's back after being thrown from across the room at the bar.,How would Taylor feel as a result?,drunk,confused,like they got beat up,xReact
Bailey was trying to kill Aubrey so Bailey held Aubrey's breath.,What will Aubrey want to do next?,Let Bailey kill her,Fight for her life,leave the crime scene,oWant
Aubrey felt a lump in her breast and was so concerned that they confided in their closest friends who then came over and spent the night listening to and trying to reassure Aubrey.,How would Others feel as a result?,energised,worried about Aubrey,excited for Aubrey,xReact
"Taylor heard someone use an unfamiliar word, so they looked up the definition of it online.",What does Taylor need to do before this?,Type the word into a search engine,remember the word,Say the word aloud to remember it,xNeed
Jordan affected children's happiness by always yelling at them and telling them no.,How would you describe Jordan?,mad,authoritative,regretful,xAttr
Aubrey took tennis lessons as a method to get in shape.,What does Aubrey need to do before this?,stay healthy,go to the game,get  tennis clothes,xNeed
Tracy took Jesse's music students to the park for a concert because Jesse was running late.,How would you describe Tracy?,a good teacher,a caring person,closer to the kids,xAttr
Kai practiced her dance routine for months on end.,How would you describe Kai?,she was Enduring,she was lazy,she had no motivation,xAttr
"Even though the biological father was in jail, Sasha kept the baby.",Why did Sasha do this?,go to jail,have a child,Raise the child well,xIntent
Remy supplied the needs of all the children during the power outage.,Why did Remy do this?,have money,get power,Make sure the kids were safe,xIntent
Cameron was talking to Skylar and looked at him as he talked to them.,Why did Cameron do this?,talk to them,hate them,be disrespectful,xIntent
Addison turned their music down because they were making noise.,How would you describe Addison?,bored,annoyed,thoughtful,xAttr
Sasha was playing baseball for so long and got tired.,How would you describe Sasha?,fit,weary from the game,exhausted from the game,xAttr
"Remy supplied everything to the store, but the order was wrong.",What will Remy want to do next?,bring the right supplies,forget a list,buy random things,oWant
Sydney asked mom if Ash could have one more piece of pie after they ate all of their dinner.,How would Ash feel as a result?,Angry,Excited,Sad,xReact
"After their spouses death, Aubrey was responsible for taking care of all their children alone, so Aubrey had to get a job.",What will happen to Others?,Others will be taken care of,be sad,Others will be friends with Aubrey,oEffect
Austin sat on Bailey's lap and fell asleep after being up all night.,How would Bailey feel as a result?,comforting as a result,depressed as a result,as sleepy,xReact
"Robin enjoyed day dreaming on lazy Sunday afternoons. One time, Robin had a fantasy about chasing rainbows.",Why did Robin do this?,good,make sure to be prepared for Monday's math test,brainstorm a plot for a short story,xIntent
Cameron moved Kendall's body into a trash bag.,Why did Cameron do this?,was nice,killed Kendall,needed to buy trash bags,xIntent
"Casey finds a baby kitten outside during a bad storm. It cries all night for it's mother, the next morning Casey wants to help the kitten.",What will Casey want to do next?,leave it home to go to work,feed the kitten,try to find the mother cat,oWant
Sasha wet the bed after having a dream about really having to pee.,How would you describe Sasha?,embarrassed,upset,a person who has normal bodily functions,xAttr
Kai was at the farmer's market and they sold their cow to the bidder.,What will Kai want to do next?,collect the animals,collect their money,collect the milk,oWant
taylor's child was sick in the hospital and taylor told quinn she would keep her posted.,What will happen to Taylor?,she will get details,talk to friends for support,be wracked with worry,oEffect
"kai stopped a fight so, he grabbed carson's tools and put them away.",What will Carson want to do next?,berate kai,talk to Carson,tell Carson where his tools are,oWant
Kai gave Sydney a push on the playground swing.,How would Sydney feel as a result?,thankful for Kai,love towards Kai,they are swinging,xReact
Cameron had to put up or shut up during the blackjack game.,How would Cameron feel afterwards?,Bold,uninspired,Weak,xReact
Robin refused to pay for it and was soon arrested for petty theft that night.,What will happen to Others?,be banned,be arrested,sad,oEffect
Jordan left his at book home. He had to have it for his upcoming class.,What does Jordan need to do next?,get the book as fast as he can,not think about it,go to class without it,xNeed
Bailey spent a lot of time studying and working hard before taking an exam.,How would Bailey feel afterwards?,intelligent,relieved,uncomfortable,xReact
Ash had fallen off his bike and broke his ankle so Alex checked to see if he was okay.,What will happen to Ash?,go to the park,go to the ER,he will fix his ankle,oEffect
Jan had a long intensive labor but gave birth to a daughter that day.,How would you describe Jan?,full of energy,disappointed in the result,exhausted from the labor,xAttr
"Carson was home alone for a while listening to his music, when he saw that his mom had come home from work, and looked to be in a foul mood.",Why did Carson do this?,create an unwelcome atmosphere,look out the window,be considerate towards how his mom was feeling,xIntent
Robin's house was scheduled to be demolished. Jesse set Robin's house on fire.,How would you describe Jesse?,relaxed,conservative,risky,xAttr
Aubrey never told Riley because Riley would be very upset that Aubrey betrayed them.,How would Aubrey feel afterwards?,Someone who lacks loyalty,open,guilty,xReact
Robin changed their baby Aubrey into a swimsuit before they both went swimming in the pool.,What does Robin need to do before this?,put a floaty on the baby,select a onesie for Aubery,change Aubrey's diaper,xNeed
Kai talked about politics with their colleagues.,What will Kai want to do next?,have a chat,learn more about politics,be conversational,oWant
Riley was not able to get a word in during the heated argument.,What will Riley want to do next?,leave the argument,strong,get her turn,oWant
"Aubrey took many medications during the years which helped with their painful condition, but also sadly led to a drug addiction.",What will Others want to do next?,have access to drugs,maintain a safe distance from Aubrey until they recover,assist Aubrey with rehabilitation options to combat the addiction,oWant
Austin blew a huge cloud of smoke into the air in front of all their friends.,Why did Austin do this?,wanted to quit smoking,put out a cigarette,wanted to show off their new vape,xIntent
Lee told his friends that he solved the worlds problem in his dream by encouraging peaceful discourse as a leader of the country.,How would his friends feel as a result?,like Lee was funny,motivated to change,like Lee was very talented,xReact
Sasha saw a new movie with their friends and it was good.,How would you describe Sasha?,As someone who thought about their friends,like a person who had lovely company,As someone who liked a movie,xAttr
Kendall went to a bar and drank booze every night.,Why did Kendall do this?,Celebrate his birthday,get a friend to drive,forgot his problems,xIntent
Casey saved some money because Casey wanted to have more money for whatever can happen.,Why did Casey do this?,spend their money when needed,be more responsible,continue working and gathering money,xIntent
"Robin was playing hide and seek with their sibling, Robin was hiding under the bed and when someone came in Robin held her breath.",Why did Robin do this?,stay quiet,be noisy,remain hidden,xIntent
Jordan ran quickly to the store to get some donuts.,How would you describe Jordan?,tired from all the running,Has good priorities,excited to eat the donuts,xAttr
Sasha wet the bed after drinking a large soda before bed.,What does Sasha need to do before this?,Dry her sheets,drink before this,Wash the bed,xNeed
Tracy received a promotion after she worked long hard hours for the past few months.,What will Tracy want to do next?,quit her job to travel,take a vacation,focus on work,oWant
Tracy had excellent credit so she decided to buy the old house on the street.,What does Tracy need to do before this?,Rebuild the house,Talk to a realtor,Tear the house down,xNeed
Aubrey wrote Tracy's novel because Tracy was a well known author but didn't have very much talent.,What will Aubrey want to do next?,read the novel,avoid taking credit for the work,take credit for the work,oWant
"Jesse was working for Edward Nigma. So, Jesse set Robin's case on fire.",What will happen to Robin?,have to get a new case,get punished,get reprimanded,oEffect
Carson wanted to travel to Jesse's town because Jesse had always talked about what a great place it was.,What will Carson want to do next?,needed to purchase a passport,needed to purchase plane tickets,hear from Jesse all about the places they are visiting in town,oWant
"Robin studied hard the night before, and found the test to be very easy. Robin finished the test quickly.",How would Robin feel afterwards?,proud,motivated,nervous,xReact
Bailey asked Sasha's grandma about church because they wanted to know more about it.,What will happen to Sasha?,learn about church,be curious,be nothing,oEffect
Alex gave up smoking cigarettes because he hated the smell.,How would Alex feel afterwards?,Smelly,A lot healthier,Very dirty,xReact
Bailey saw that Ash was feeling down and reached over to hold Ash's hand.,How would you describe Bailey?,compassionate,good about helping a friend,sympathetic to Ash,xAttr
Carson asked if Robin wanted to go eat. Robin shook their head no.,How would Carson feel as a result?,like going to eat alone,ready to go,Like going with Robin to eat,xReact
Lee sold things to the others and they were happy with their purchases.,What will Others want to do next?,The others will complain next,proud,buy more next,oWant
Skylar got their friends together and they all went on a camping trip.,Why did Skylar do this?,see their friends,go on a camping trip,go on vacation with friends,xIntent
"Taylor was best friends with a co-worker, so they got lunch at the yummy pizza place.",What will Taylor want to do next?,they wanted a break,full,bored,oWant
Alex stole money from the children to pay for his drugs.,What will happen to Alex?,ale who has take a drugs,he will have to pay back what he stole,he will go to jail for giving them money,oEffect
Austin knew Remy didn't want to play but Austin challenged Remy to a game anyway.,What will happen to Remy?,say they are busy,he will be denied,he will be yelled at,oEffect
"Quinn threw the frisbee very far, so the dog will have a challenge.",How would Quinn feel afterwards?,passive,loved,lazy,xReact
Kai gave Ash some bread and stuff from the deli to make a sandwich.,How would Ash feel as a result?,like they were nice,Grateful for the trade,Glad to be able to make a sandwich,xReact
"Ash was nervous, and cringed when they missed a step, but knew that the best thing to do is push forward. They earned a standing ovation.",Why did Ash do this?,Do it perfectly or not at all,Prove they could do it,Quit while they were ahead,xIntent
"Lee was going to be a teacher, but Kendall Kendall altered Lee's course and they became a doctor.",What does Kendall need to do before this?,stay up to date on new medicine,speak to them,go away,xNeed
Addison invited Austin to join the group with them.,What will Addison want to do next?,left out,had a crush on Austin,went to Austin's house to get him,oWant
"When Jan saw Jesse the bully coming around the corner, Jan played dumb.",Why did Jan do this?,tell the teacher,stay safe,get away from the bully,xIntent
"After seeing them go 95 mph, Aubrey pulled them over for speeding on a 55 mph highway.",How would Others feel after?,happy about the ticket,more cautious,happy about court,oEffect
Sasha woke up early and arrived just in time for the job interview.,How would you describe Sasha?,confident that she did well,assured that it went well,responsible,xAttr
Alex was annoyed their pants kept falling down so they tightened the belt around their waist.,Why did Austin do this?,not get embarrassed,make sure their pants don't fall down,loosen their pants,xIntent
Kai went with her friend and saw the new Lee movie.,What does Kai need to do before this?,Contact her friend,go to the movie with a different friend,Make dinner reservations,xNeed
"Taylor's father was going to marry his long time girlfriend, Anna.",What does Taylor need to do before this?,buy a prom dress,buy a wedding gift,plan,xNeed
Lee tried to remain calm when the situation turned sour.,How would Lee feel afterwards?,sensible,Very irritated,Happy as a bird,xReact
Austin's friend smoked near him.  Austin blew the smoke away.,How would Austin feel afterwards?,shocked,good,the need to ask the friend to stop smoking,xReact
Skylar Joined Sasha to wait in line at the movies.,What will Skylar want to do next?,spend time with Sasha,see the movie,see a new movie,oWant
Tracy gave birth to Addison and it was a healthy baby with some hair.,What will Addison want to do next?,lazy,have a child of her own,loved,oWant
Jesse went camping with Addison's friends and told scary stories.,Why did Jesse do this?,scare their friends with more stories,have fun,listen to scary stories be told back to them,xIntent
Taylor's friends elected her to lead the planning of the girls only trip in May.,What will the friends want to do next?,thank Tootsie,go on the trip in May,go on the trip in July,oWant
Robin was very good at playing the flute and could play it long.,What does Robin need to do before this?,Practice breathing exercises,Skip days of practice,find a manager,xNeed
Aubrey helped Alex with a task.,What will Alex want to do next?,give Aubrey a hug,Tell her she accepts,walk away from Aubrey,oWant
Ash threw himself into Sasha's arm having not seen her in over 10 years.,What will happen to Ash?,sasha will be happy to see ash,be reminiscent,sasha will catch ash,oEffect
Taylor proved Carson's point last night when they spoke about the issue.,Why did Taylor do this?,Feel proud,lose the argument,be argumentative,xIntent
Austin moved their body from the crime scene so cops wouldn't find it.,What will Austin want to do next?,put sunglasses on the body's eyes,wanted to get away with the crime,dispose the body in chemicals,oWant
"Jesse was in a rut at work, so he started working harder to improve his condition.",Why did Jesse do this?,be depressed,get a promotion,Work longer hours,xIntent
It had snowed overnight and Quinn was playing in the snow.,What does Quinn need to do before this?,did this for entertainment,wonder if they have something warm to wear,get ready to go outside,xNeed
Kai grabbed Carson's tools for him when Carson forgot them at work.,How would Kai feel afterwards?,relieved that their tools have not been left behind,thoughtful,forgetful,xReact
Jesse was going to stand alone but stood by Carson instead to keep them company.,How would Cameron feel as a result?,supportive afterwards,Glad their friend was their,friendly afterwards,xReact
Jordan decided to have a picnic in the park to cheer his sister up.,How would you describe Jordan?,Like a good brother,unfriendly,considerate,xAttr
Jordan and their classmates were studing in the park but Jordan saw a beautiful bird so Jordan left their book by them and went over to the bird.,What does Jordan need to do before this?,Go and visit with the bird,not go to the park with them,look around,xNeed
Jordan won a car when they entered a raffle.,What will Jordan want to do next?,put the car in the garage,buy a ticket,pay taxes on the car they won,oWant
"Kai had a leading flim business, but never embraced digital, 20 years later the company went the way of the dinosaur.",How would you describe Kai?,not a forward thinker,Innovative in business,regretful,xAttr
Remy explained to Aubrey again how upset he was that she didn't show up for dinner.,What will Aubrey want to do next?,wanted to have alone time,apologize to Jason,give Remy a hug,oWant
Jan wrapped a necklace around Sydney's neck after she presented it to her for her birthday.,What will Jan want to do next?,choose a necklace,be thanked next,go shopping,oWant
Riley talked to their friends about the baseball game at the park.,What will Others want to do next?,head home from the baseball game,join in,ignore her,oWant
"Riley was being held captive, but they were able to break loose from the house.",What will Riley want to do next?,break down the door,go to the neighbor's,free herself from the binds,oWant
Tracy crowded around them because they wanted to intimated them a lot.,What will Tracy want to do next?,wanted to be polite,wanted to be agressive,confident,oWant
Remy answered the question correctly when the teacher called on them in class.,How would Others feel as a result?,very smart,Like Remy answered the question,full of confidence,xReact
Casey went camping with the others and everyone was looking forward to fishing.,What will happen to Others?,The others will camp next,The others will book a hotel next,catch a fish,oEffect
Cameron took Carson away for a long time. Cameron had much to tell Carson about.,What will Cameron want to do next?,keep Carson occupied for a while longer,Do all of the talking,only listen to Carlson,oWant
Jesse set their friend Robin's hair on fire by accident and Robin ran to get water.,How would you describe Jesse?,caring,kind,cruel,xAttr
Kendall poured water on the fire to put it out safely.,Why did Kendall do this?,Fill the bucket with water,be dangerous,extinguish the flames,xIntent
Robin pulled Carson over for speeding when Carson was going 1 mile over the limit.,What will Carson want to do next?,gladly pay the fine,praise the police officer,avoid paying the ticket,oWant
Cameron continued playing with the dog to the point he stayed out till it was dark.,What does Cameron need to do before this?,have a cat,have an iguana,be a playful person,xNeed
Austin got an email from a guy that told him to meet him at the beach.,What will Austin want to do next?,go to the beach,ho to a hotel,buy a car,oWant
Cameron interpreted science in terms everyone in the class could understand.,Why did Cameron do this?,did this to withhold information,did this to share information,encourage the class,xIntent
Quinn turned on the microwave to heat up left overs for dinner.,What will Others want to do next?,enjoy the party,enjoy the left overs,stir the food to make it heat evenly,oWant
Jesse showed Sydney's friends how to bake a cake when they were all together.,Why did Jesse do this?,eat the cake,share the cake,eat dessert,xIntent
jesse paid another team member to throw the match because they had a lot of money on the game.,What will Others want to do next?,fail on purpose,make money,make a profit,oWant
robin changed aubrey's clothes before the event so that aubrey would look nice in front of the crowd.,What will happen to Aubrey?,be noticed,she will be proud of robin,she will tell robin she loves her,oEffect
Riley is the most popular student in the school.,What will Others want to do next?,run for class president,run for student council,join Riley's gang,oWant
Aubrey never told Riley the answer and was glad to maintain her privacy.,How would Aubrey feel afterwards?,relieved afterwards,private,quiet,xReact
Riley had fallen off his bike making a turn. Riley began to hurt and held his arm.,How would Riley feel afterwards?,accident prone,pain,good,xReact
Robin thanked Tracy for the contributions she brought to the group all together.,What will happen to Robin?,finish the project,be flattered by Robin's attention,a good person,oEffect
Kai felt she was missing something when she discovered she lost her wallet.,How would you describe Kai?,very anxious and upset,worried,happy,xAttr
Kendall lost their shirt at the concert yesterday after it was torn off while crowd surfing.,How would you describe Kendall?,someone who likes to party,embarrassed,regret for losing the shirt,xAttr
Robin has the power to fire anybody working on their team.,How would Others feel as a result?,in command,powerful,exposed,xReact
"Tracy loves camping and being outside in nature, they don't like being cooped up in the city.",What kind of place would Tracy be happy living?,In a big town with many people,In a large city,The country,oEffect
Sydney knew Addison had a headache so he rubber her head.,How would you describe Sydney?,prone to migraines,has no friends,beloved,xAttr
Riley punished their child and knew that lesson will be enough.,How would you describe Riley?,a mother,disciplining,a father,xAttr
Remy made more friends when she started high school that year.,What will happen to Others?,they will be isolated,they will be lonely,they will have company,oEffect
"After she graduated, Jordan would teach English in schools.",What does Jordan need to do before this?,forge her college transcripts to get a job interview,start teaching sooner,get an internship at the school to get more work experience,xNeed
Riley regarded Jesse with observant eyes to watch over the children at the daycare.,Why did Riley do this?,trusts Jesse,be alert and on point,pay attention to everything that goes on,xIntent
Alex gave Sasha service to her car today.,How would Alex feel afterwards?,as helpful,tired,as kind,xReact
Jesse got angry with Robin and set their car on fire.,What will Jesse want to do next?,call the police,escape the fire,get revenge,oWant
Carson shook Jan's head again looking to get the spine properly aligned after surgery.,What will Carson want to do next?,get angry with Jan,feeling,ignore Jan's pleas,oWant
Cameron went out of her way to give food to the homeless man.,How would you describe Cameron?,guilty,kind,selfish,xAttr
Aubrey has always been there for Alex. Aubrey fulfilled Alex's needs.,What does Aubrey need to do before this?,loyal,stay with Alex,pay for Alex's bills,xNeed
Remy moved to a new city. They made more friends.,Why did Remy do this?,travel to the new city,pack their things,wanted to influence people,xIntent
Austin's family was celebrating their parents 50th anniversary during dinner at a new restaurant.,What would Austin's family do next?,Refuse to eat dinner with the family,happy,Eat dinner at the restaurant,oEffect
While on vacation Kendall caught three fish for dinner.,What will Kendall want to do next?,invite friends over for dinner,did this for nourishment,go to the aquarium,oWant
Robin was confronted by another staff member at their team meeting.,What will Robin want to do next?,run away,ignore their colleague,speak with their colleague,oWant
"After rushing to make it to the gate, Robin missed his flight, so Cameron picked him up from the airport.",What will happen to Robin?,be in a car,pick up their friend,be on a plane,oEffect
Kai made a career out if his hobby after his normal job did not look very promising.,Why did Kai do this?,be tied to fate,be independent,find out how to make his hobby profitable,xIntent
Remy saved the building from destruction by stopping the timer.,What will Remy want to do next?,Find the bomb,cut the correct wire,Keep the timer off,oWant
Sasha got revenge on her friends after they made a joke about her.,What will Others want to do next?,be fair,play with her,hurt her back,oWant
Remy played darts for an hour at the tavern on his way home from work that night.,What will Remy want to do next?,watch the sunrise,wanted to have fun,put darts away,oWant
Lee gave birth to children but did not have any diapers or baby supplies.,What will Others want to do next?,go to the store,Give baby gifts to Lee,buy diapers,oWant
Addison asked Austin to come to the party.,Why did Addison do this?,wants revenge on Austin,dress up for Austin,friends with Austin,xIntent
